year,racenumber,gp,Toro Rosso,Force India,Ferrari,Marussia,Williams,McLaren,Caterham,Mercedes,Red Bull,Renault,Sauber,team,age,driver,Track Type,p1,p2,p3,avgprac,qual,grid,avgstart,pteam,teampts,pdriver,driverpts,pit stops,dnf,points,podium,finish
2014,14,singapore,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,0,18,12,17,15.66666667,16.00,16.00,16.00,0.03125,0,0.03125,0,3,0,0,0,12.0
2014,15,japan,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,15,13,16,14.66666667,18.00,16.00,17.00,0.015625,0,0.015625,0,5,0,0,0,15.0
2014,16,russia,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,0,18,16,16,16.66666667,16.00,15.00,15.50,0.0078125,0,0.0078125,0,1,0,0,0,17.0
2014,17,unitedstates,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,18,12,13,14.33333333,18.00,16.00,17.00,0.00390625,2,0.00390625,0,2,0,0,0,11.0
2014,18,brazil,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,15,12,14,13.66666667,15.00,14.00,14.50,1.001953125,0,0.001953125,0,3,0,0,0,17.0
2014,19,abudhabi,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,0,16,17,17,16.66666667,14.00,18.00,16.00,0.500976563,0,0.000976563,0,3,0,0,0,13.0
2014,1,australia,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,14,15,21,16.66666667,19.00,20.00,19.50,0,0,0,0,2,0,0,0,12.0
2014,2,malaysia,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,15,15,14,14.66666667,12.00,12.00,12.00,0,0,0,0,5,1,0,0,20.0
2014,3,bahrain,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,18,16,14,16,15.00,15.00,15.00,0,0,0,0,6,1,0,0,20.0
2014,4,china,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,18,16,15,16.33333333,17.00,17.00,17.00,0,0,0,0,3,0,0,0,16.0
2014,5,spain,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,15,15,18,16,14.00,13.00,13.50,0,0,0,0,3,0,0,0,16.0
2014,6,monaco,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,0,12,15,19,15.33333333,17.00,17.00,17.00,0,0,0,0,4,1,0,0,18.0
2014,7,canada,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,0,18,17,22,19,22.00,22.00,22.00,0,0,0,0,3,0,0,0,14.0
2014,8,austria,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,14,14,17,15,18.00,17.00,17.50,0,0,0,0,3,0,0,0,19.0
2014,9,greatbritan,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,13,13,12,12.66666667,14.00,19.00,16.50,0,0,0,0,4,1,0,0,20.0
2014,10,germany,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,16,18,15,16.33333333,14.00,16.00,15.00,0,0,0,0,3,0,0,0,14.0
2014,11,hungary,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,11,18,16,15,14.00,13.00,13.50,0,0,0,0,4,1,0,0,20.0
2014,12,belgium,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,17,17,18,17.33333333,20.00,20.00,20.00,0,0,0,0,2,0,0,0,15.0
2014,13,italy,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,1,15,14,12,13.66666667,16.00,15.00,15.50,0,0,0,0,3,0,0,0,20.0
2014,14,singapore,0,0,0,0,0,0,0,0,0,0,1,Sauber Ferrari,22,gutierrez,0,16,16,10,14,14.00,14.00,14.00,0,0,0,0,5,1,0,0,21.0
